,Country,Population,variable,2000,2010,2016
0,Afghanistan,20094,All Causes,1617.46,1327.411,1254.805
1,Albania,3122,All Causes,766.3497,678.7701,609.1701
2,Algeria,31184,All Causes,814.9004,613.4972,558.7889
3,Angola,16441,All Causes,2014.845,1372.689,1181.017
4,Antigua and Barbuda,84,All Causes,779.1912,657.0445,667.1831
5,Argentina,37057,All Causes,680.8901,610.72,555.3664
6,Armenia,3070,All Causes,784.2334,754.192,671.4136
7,Australia,19066,All Causes,448.9097,361.6013,335.5643
8,Austria,8069,All Causes,508.9051,414.0855,374.2047
9,Azerbaijan,8123,All Causes,1018.565,845.8442,741.2102
10,Bahamas,298,All Causes,761.2118,606.2947,569.2004
11,Bahrain,665,All Causes,804.2425,604.2326,487.6976
12,Bangladesh,131581,All Causes,1018.507,826.966,720.2063
13,Barbados,270,All Causes,758.0772,693.1515,649.5887
14,Belarus,9934,All Causes,1074.328,948.1592,718.5877
15,Belgium,10282,All Causes,531.1274,431.3915,398.5078
16,Belize,247,All Causes,1039.893,978.9426,945.3121
17,Benin,6866,All Causes,1508.358,1328.293,1244.777
18,Bhutan,573,All Causes,1252.083,888.0821,790.2458
19,Bolivia (Plurinational State of),8340,All Causes,1129.831,821.2156,731.1674
20,Bosnia and Herzegovina,3767,All Causes,715.2421,634.1601,564.9989
21,Botswana,1728,All Causes,2188.196,1337.34,1092.55
22,Brazil,175288,All Causes,878.5235,698.8522,613.9621
23,Brunei Darussalam,333,All Causes,782.8581,596.6542,608.2178
24,Bulgaria,7998,All Causes,882.8899,743.9013,679.1348
25,Burkina Faso,11608,All Causes,1992.235,1592.546,1432.55
26,Burundi,6401,All Causes,1770.68,1476.604,1346.997
27,Cambodia,12152,All Causes,1474.465,1059.656,945.8242
28,Cameroon,15274,All Causes,1951.824,1571.614,1453.6
29,Canada,30736,All Causes,465.4716,378.9919,340.584
30,Cape Verde,435,All Causes,955.9176,837.4198,765.9033
31,Central African Republic,3755,All Causes,2308.751,1952.482,1722.916
32,Chad,8343,All Causes,1976.261,1755.111,1638.604
33,Chile,15263,All Causes,550.5063,503.924,455.8796
34,China,1290291,All Causes,800.1113,663.7164,615.4647
35,Colombia,40404,All Causes,784.9162,678.7883,610.9477
36,Comoros,542,All Causes,1407.669,1295.552,1202.94
37,Congo,3226,All Causes,1766.589,1281.62,1136.462
38,Costa Rica,3925,All Causes,528.3557,495.9285,444.8571
39,Côte d'Ivoire,16687,All Causes,2181.434,1919.377,1803.156
40,Croatia,4428,All Causes,714.8602,595.3638,521.2718
41,Cuba,11151,All Causes,573.3301,524.9661,484.3554
42,Cyprus,943,All Causes,571.3718,467.496,431.3096
43,Czechia,10290,All Causes,692.8341,547.6905,482.3411
44,Democratic People's Republic of Korea,22929,All Causes,1145.109,946.8519,821.5631
45,Democratic Republic of the Congo,47076,All Causes,1774.712,1426.575,1290.568
46,Denmark,5341,All Causes,573.1263,473.9211,403.0262
47,Djibouti,718,All Causes,1451.054,1235.095,1138.515
48,Dominican Republic,8563,All Causes,815.5055,721.7411,663.8239
49,Ecuador,12629,All Causes,690.4505,587.4519,550.4733
50,Egypt,69906,All Causes,927.9205,954.2314,928.828
51,El Salvador,5868,All Causes,901.0159,727.9243,665.356
52,Equatorial Guinea,614,All Causes,1698.545,1478.211,1369.423
53,Eritrea,3393,All Causes,2458.839,1290.789,1159.325
54,Estonia,1399,All Causes,856.3998,612.9974,524.9992
55,Ethiopia,66537,All Causes,1816.672,1213.617,1048.272
56,Fiji,811,All Causes,1096.331,991.3961,933.9626
57,Finland,5188,All Causes,537.3041,438.4614,389.2229
58,France,59608,All Causes,474.0726,383.9076,338.2539
59,Gabon,1231,All Causes,1337.964,1203.845,1021.182
60,Gambia,1232,All Causes,1679.712,1493.5,1399.147
61,Georgia,4722,All Causes,809.7303,808.1964,827.5592
62,Germany,81488,All Causes,522.6775,438.8281,408.8138
63,Ghana,18939,All Causes,1650.646,1404.506,1291.792
64,Greece,11142,All Causes,523.7816,420.7107,397.2047
65,Grenada,102,All Causes,935.9829,798.4987,740.2166
66,Guatemala,11651,All Causes,924.9302,765.3099,678.8355
67,Guinea,8809,All Causes,1933.979,1600.417,1473.379
68,Guinea-Bissau,1243,All Causes,1791.689,1629.758,1481.839
69,Guyana,753,All Causes,1137.889,1138.779,1150.437
70,Haiti,8549,All Causes,1439.598,3311.253,1124.348
71,Honduras,6524,All Causes,758.6678,647.0709,602.3048
72,Hungary,10221,All Causes,837.4179,711.2433,632.1456
73,Iceland,280,All Causes,456.7653,373.8278,356.8406
74,India,1053051,All Causes,1198.999,1008.861,911.3362
75,Indonesia,211540,All Causes,1142.882,1055.495,999.8258
76,Iran (Islamic Republic of),66132,All Causes,896.9185,720.7493,654.8442
77,Iraq,23565,All Causes,915.738,837.7398,876.0826
